premise	hypothesis	label
اولین انتقال و نفوذ طبیعی فرهنگ و تمدن اسلامی به اروپا از طریق کانون های جغرافیایی مصر، اندلس و سیسیل انجام گرفت و آنچه توانست به روند این انتقال سرعت بخشد جنگ های صلیبی بود.	نخستین انتقال و نفوذ طبیعی فرهنگ و تمدن اسلامی به اروپا از طریق کانون های جغرافیایی مصر، اندلس و سیسیل بود و جنگ های صلیبی توانست این روند را سریع کند.	e
اولین انتقال و نفوذ طبیعی فرهنگ و تمدن اسلامی به اروپا از طریق کانون های جغرافیایی مصر، اندلس و سیسیل انجام گرفت و آنچه توانست به روند این انتقال سرعت بخشد جنگ های صلیبی بود.	کانون های جغرافیایی مصر، اندلس و شام، نخستین راهی بودند که از طریق آن‌ها فرهنگ و تمدن اسلامی به اروپا نفوذ کرد و روابط تجاری و اقتصادی، این روند را تسریع می کرد.	c
اولین انتقال و نفوذ طبیعی فرهنگ و تمدن اسلامی به اروپا از طریق کانون های جغرافیایی مصر، اندلس و سیسیل انجام گرفت و آنچه توانست به روند این انتقال سرعت بخشد جنگ های صلیبی بود.	سیسیل بعد از اسپانیا بزرگ ترین کانونی بود که همه فرهنگ و تمدن اسلامی را به اروپا منتقل کرد. کتاب کلیله و دمنه برای نخستین بار در سیسیل به لاتین ترجمه شد.	n
ویژگی های هنر عصر اموی: ۱- تلفیقی بودن ۲- بازنمایی نوعی تفنن و تفریح ۳- نقاشی های تزئینی و تندیس های بی کیفیت	نقاشی های تزئینی و تندیس های بی‌کیفیت، یکی از ویژگی های هنر عصر اموی است.	e
ویژگی های هنر عصر اموی: ۱- تلفیقی بودن ۲- بازنمایی نوعی تفنن و تفریح ۳- نقاشی های تزئینی و تندیس های بی کیفیت	با کیفیت بودن تندیس های دوره اموی، یکی از ویژگی های هنر این دوره است.	c
ویژگی های هنر عصر اموی: ۱- تلفیقی بودن ۲- بازنمایی نوعی تفنن و تفریح ۳- نقاشی های تزئینی و تندیس های بی کیفیت	دوره امویان عصری است که در آن سنت های هنری تمدن اسلامی پایه گذاری شد.	n
قبه الصخره یکی از تجلی گاه های زیبایی و ظرافت هنر اسلامی محسوب می شود و به فرمان عبدالملک بن مروان برای برگزاری روز عرفه ساخته شد.	قبه الصخره به فرمان عبدالملک بن مروان و برای برگزاری روز عرفه بنا گردید.	e
قبه الصخره یکی از تجلی گاه های زیبایی و ظرافت هنر اسلامی محسوب می شود و به فرمان عبدالملک بن مروان برای برگزاری روز عرفه ساخته شد.	مروان بن عبدالملک به مناسبت مراسم عید قربان، دستور به ساخت قبه الصخره داد.	c
قبه الصخره یکی از تجلی گاه های زیبایی و ظرافت هنر اسلامی محسوب می شود و به فرمان عبدالملک بن مروان برای برگزاری روز عرفه ساخته شد.	قبه الصخره در بیت المقدس و برای برگزاری روز عرفه توسط عبدالملک بن مروان احداث شد.	n
در دوران نبوت، مسجد النبی اولین آموزشگاه آن دوره بود.	نخستین آموزشگاه عصر نبوت، مسجد النبی است.	e
در دوران نبوت، مسجد النبی اولین آموزشگاه آن دوره بود.	اولین آموزشگاه عصر نبوت، مسجد کوفه نام دارد.	c
در دوران نبوت، مسجد النبی اولین آموزشگاه آن دوره بود.	حلقه‌های درسی امام صادق در مسجد النبی برپا می‌شد.	n
رواج و پیدایش علم کلام، از مهمترین نتایج ورود اندیشه ها به جهان اسلام و تلاش و مساعی معتزلیان و مناظرات آنان با مخالفان بود.	یکی از مهمترین نتایج ورود اندیشه‌ها به عالم اسلام و سعی و تلاش معتزلیان، رواج علم کلام است.	e
